,base_asset,compare_asset,label
224,IEF,LDSF,0
241,IEI,VTC,0
240,IEI,VMBS,0
239,IEI,VGSH,0
238,IEI,VCIT,0
237,IEI,UITB,0
236,IEI,SUSB,0
235,IEI,SLQD,0
234,IEI,SKOR,0
242,IEI,VWOB,0
233,IEI,MBB,0
231,IEI,LDSF,0
230,IEI,IUSB,0
229,IEI,IGIB,0
228,IEF,VWOB,0
227,IEF,VMBS,0
226,IEF,MBB,0
225,IEF,LMBS,0
448,VTC,VWOB,0
232,IEI,LMBS,0
223,IEF,IUSB,0
243,IGIB,IGOV,0
245,IGIB,LDSF,0
263,IGOV,VTC,0
262,IGOV,VCSH,0
261,IGOV,VCIT,0
260,IGOV,SUSC,0
259,IGOV,SUSB,0
258,IGOV,SLQD,0
257,IGOV,SKOR,0
256,IGOV,LDSF,0
244,IGIB,ISHG,0
255,IGOV,ISTB,0
253,IGIB,VWOB,0
252,IGIB,VTC,0
251,IGIB,VGSH,0
250,IGIB,UITB,0
249,IGIB,SUSC,0
248,IGIB,SUSB,0
247,IGIB,SLQD,0
246,IGIB,SHY,0
254,IGOV,IGSB,0
222,HYZD,WINC,0
221,HYZD,VTIP,0
220,HYZD,VTC,0
196,HYXF,VTC,0
195,HYXF,VGSH,0
194,HYXF,VGIT,0
193,HYXF,VCIT,0
192,HYXF,USTB,0
191,HYXF,UITB,0
190,HYXF,SUSC,0
189,HYXF,SKOR,0
197,HYZD,IEF,0
188,HYXF,SHY,0
186,HYXF,ISHG,0
185,HYXF,IGOV,0
184,HYXF,IGIB,0
183,HYXF,IEI,0
182,HYXF,IEF,0
181,HYLS,VGSH,0
180,HYLS,USTB,0
179,HYLS,UITB,0
187,HYXF,IUSB,0
198,HYZD,IEI,0
199,HYZD,IGIB,0
200,HYZD,IGOV,0
219,HYZD,VRIG,0
218,HYZD,VMBS,0
217,HYZD,VGSH,0
216,HYZD,VGIT,0
215,HYZD,VCSH,0
214,HYZD,VCIT,0
213,HYZD,USTB,0
212,HYZD,UITB,0
211,HYZD,SUSC,0
210,HYZD,SUSB,0
209,HYZD,SLQD,0
208,HYZD,SKOR,0
207,HYZD,SHY,0
206,HYZD,MFLX,0
205,HYZD,MBB,0
204,HYZD,IUSB,0
203,HYZD,ISTB,0
202,HYZD,ISHG,0
201,HYZD,IGSB,0
264,IGOV,VWOB,0
178,HYLS,SUSC,0
265,IGSB,ISHG,0
267,IGSB,SKOR,0
424,SUSB,VGSH,0
423,SUSB,VCSH,0
422,SUSB,USTB,0
419,SLQD,VWOB,0
418,SLQD,VGSH,0
417,SLQD,VGIT,0
416,SLQD,VCIT,0
415,SLQD,USTB,0
425,SUSB,VWOB,0
414,SLQD,UITB,0
412,SKOR,VGSH,0
411,SKOR,UITB,0
410,SKOR,SUSB,0
409,SKOR,SLQD,0
408,SHY,VWOB,0
407,SHY,VTC,0
406,SHY,VMBS,0
405,SHY,VCSH,0
413,SKOR,VWOB,0
404,SHY,VCIT,0
426,SUSC,UITB,0
428,SUSC,VCIT,0
447,VRIG,VTIP,0
446,VGSH,VWOB,0
445,VGSH,VTC,0
444,VGIT,VWOB,0
443,VCSH,VWOB,0
442,VCSH,VGSH,0
441,VCIT,VWOB,0
440,VCIT,VTC,0
427,SUSC,USTB,0
439,VCIT,VGSH,0
437,USTB,VWOB,0
436,USTB,VTC,0
435,USTB,VCSH,0
433,UITB,VWOB,0
432,UITB,VTC,0
431,SUSC,VWOB,0
430,SUSC,VTC,0
429,SUSC,VGSH,0
438,VCIT,VCSH,0
403,SHY,UITB,0
402,SHY,SUSC,0
401,SHY,SUSB,0
305,ISTB,SUSB,0
304,ISTB,SLQD,0
303,ISTB,SHY,0
302,ISTB,LDSF,0
300,ISHG,WINC,0
299,ISHG,VWOB,0
298,ISHG,VCSH,0
297,ISHG,VCIT,0
306,ISTB,VGSH,0
296,ISHG,USTB,0
294,ISHG,SLQD,0
293,ISHG,SKOR,0
292,ISHG,LDSF,0
272,IGSB,VWOB,0
271,IGSB,VCSH,0
270,IGSB,VCIT,0
269,IGSB,USTB,0
268,IGSB,SUSB,0
295,ISHG,SUSB,0
307,ISTB,VWOB,0
312,IUSB,LDSF,0
313,IUSB,SHY,0
400,SHY,SLQD,0
399,SHY,SKOR,0
344,MBB,SHY,0
343,LMBS,VGSH,0
342,LMBS,VGIT,0
341,LMBS,SHY,0
337,LDSF,VTC,0
336,LDSF,VMBS,0
335,LDSF,VGSH,0
334,LDSF,VGIT,0
333,LDSF,VCIT,0
332,LDSF,UITB,0
331,LDSF,SUSC,0
330,LDSF,SKOR,0
329,LDSF,SHY,0
328,LDSF,MBB,0
316,IUSB,VGSH,0
315,IUSB,VGIT,0
314,IUSB,UITB,0
266,IGSB,SHY,0
177,HYLS,SHY,0
449,VTIP,WINC,0
175,HYLS,IGOV,0
69,BNDX,VTC,0
68,BNDX,VGSH,0
67,BNDX,VCSH,0
66,BNDX,SUSC,0
65,BNDX,SUSB,0
176,HYLS,ISHG,0
63,BNDX,SKOR,0
70,BNDX,VWOB,0
62,BNDX,SHY,0
60,BNDX,ISTB,0
59,BNDX,IGSB,0
58,BNDX,IGIB,0
57,BNDX,IEI,0
56,BNDX,HYXF,0
55,BNDX,BSCS,0
54,BNDX,BSCR,0
61,BNDX,LDSF,0
71,BSCN,IGOV,0
72,BSCN,ISHG,0
73,BSCN,USTB,0
90,BSCQ,IGSB,0
89,BSCQ,IGOV,0
88,BSCQ,HYXF,0
87,BSCP,VWOB,0
86,BSCP,USTB,0
85,BSCP,ISHG,0
84,BSCP,IGOV,0
83,BSCP,HYXF,0
82,BSCP,BSCT,0
81,BSCP,BSCS,0
80,BSCO,VWOB,0
79,BSCO,USTB,0
78,BSCO,SHV,0
77,BSCO,ISHG,0
