Date,Id,suburb,postalCode,sellPrice,bed,bath,car,propType
2019-06-19,1,Avalon Beach,2107,1210000,4.0,2,2.0,house
2019-06-13,2,Avalon Beach,2107,2250000,4.0,3,4.0,house
2019-06-07,3,Whale Beach,2107,2920000,3.0,3,2.0,house
2019-05-28,4,Avalon Beach,2107,1530000,3.0,1,2.0,house
2019-05-22,5,Whale Beach,2107,8000000,5.0,4,4.0,house
2019-05-10,6,Bilgola Plateau,2107,1610000,4.0,2,2.0,house
2019-04-13,7,Avalon Beach,2107,1510000,3.0,1,2.0,house
2019-04-11,8,Avalon Beach,2107,1500000,5.0,4,4.0,house
2019-04-11,9,Avalon Beach,2107,1400000,3.0,1,2.0,house
2019-04-09,10,Avalon Beach,2107,1210000,3.0,2,2.0,house
2019-04-06,11,Avalon Beach,2107,2186000,4.0,2,2.0,house
2019-03-30,12,Avalon Beach,2107,1425000,6.0,2,2.0,house
2019-03-18,13,Avalon Beach,2107,2300000,4.0,2,3.0,house
2019-03-16,14,Bilgola Plateau,2107,1425000,4.0,3,2.0,house
2019-03-15,15,Avalon Beach,2107,1400000,4.0,3,3.0,house
2019-03-09,16,Avalon Beach,2107,2420000,5.0,3,3.0,house
2019-02-21,17,Avalon Beach,2107,1645000,4.0,2,3.0,house
2019-02-20,18,Avalon Beach,2107,1285000,3.0,1,2.0,house
2019-02-05,19,Avalon Beach,2107,1700000,3.0,2,3.0,house
2019-01-25,20,Avalon Beach,2107,1325000,4.0,2,2.0,house
2018-12-21,21,Avalon Beach,2107,1020000,2.0,1,1.0,house
2018-12-19,22,Avalon Beach,2107,2040000,4.0,2,2.0,house
2018-12-19,23,Avalon Beach,2107,1359000,4.0,3,2.0,house
2018-12-15,24,Avalon Beach,2107,1715000,3.0,2,2.0,house
2018-12-15,25,Bilgola Plateau,2107,1600000,3.0,2,2.0,house
2018-12-11,26,Avalon Beach,2107,2150000,3.0,1,3.0,house
2018-12-05,27,Avalon Beach,2107,1800000,5.0,1,1.0,house
2018-11-30,28,Bilgola Plateau,2107,1590000,4.0,2,2.0,house
2018-11-28,29,Avalon Beach,2107,1765000,3.0,3,3.0,house
2018-11-20,30,Avalon Beach,2107,1300000,3.0,3,1.0,house
2018-11-17,31,Avalon Beach,2107,1325000,4.0,2,3.0,house
2018-11-16,32,Avalon Beach,2107,1810000,5.0,2,4.0,house
2018-11-03,33,Avalon Beach,2107,2440000,6.0,3,2.0,house
2018-10-30,34,Avalon Beach,2107,1435000,4.0,2,2.0,house
2018-10-20,35,Avalon Beach,2107,1550000,4.0,3,2.0,house
2018-10-19,36,Avalon Beach,2107,1500000,4.0,2,2.0,house
2018-10-10,37,Bilgola Plateau,2107,1780000,4.0,3,1.0,house
